#Date,Open,High,Low,Close,Volume,Adj Close
2014/3/4,2068.11,2074.02,2050.13,2071.47,115925792,1.01116E+11
2014/3/5,2073.29,2074.81,2050.18,2053.08,107733082,91623333888
2014/3/6,2050.03,2065.79,2030.95,2059.58,109290133,92561448960
2014/3/7,2058.38,2079.49,2050.47,2057.91,103709540,89332137984
2014/3/10,2042.35,2042.63,1995.55,1999.06,115696666,95032991744
2014/3/11,1994.42,2008.07,1985.6,2001.16,92705265,76870328320
2014/3/12,1996.24,2011.06,1974.38,1997.69,101361719,79293071360
2014/3/13,2000.69,2029.12,1996.53,2019.11,100978116,77979058176
2014/3/14,2008.82,2017.91,1990.98,2004.34,87775111,69925888000
2014/3/17,2009.88,2024.37,1999.25,2023.67,86250374,72017780736
2014/3/18,2026.22,2034.92,2020.41,2025.2,96777193,83580452864
2014/3/19,2019.98,2022.18,2002.44,2021.73,95180797,79473238016
2014/3/20,2017.22,2030.85,1993,1993.48,110333048,88630976512
2014/3/21,1987.68,2052.47,1986.07,2047.62,144477656,1.09438E+11
2014/3/24,2050.83,2074.06,2043.33,2066.28,147700085,1.10244E+11
2014/3/25,2063.32,2079.55,2057.49,2067.31,131822232,1.00174E+11
2014/3/26,2070.57,2074.57,2057.65,2063.67,102611116,80463446016
2014/3/27,2060.81,2073.98,2042.71,2046.59,119149374,94996463616
2014/3/28,2046.85,2060.13,2035.24,2041.71,121681965,94221959168
2014/3/31,2043.05,2048.13,2024.19,2033.31,94356536,71573692416
2014/4/1,2031,2050.68,2028.1,2047.46,83286576,64512638976
2014/4/2,2049.42,2060.78,2046.74,2058.99,102658525,77940637696
2014/4/3,2063.5,2066.01,2037.45,2043.7,108618421,79480897536
2014/4/4,2037.55,2060.1,2035.22,2058.83,83189056,66368647168
2014/4/8,2054.53,2102.45,2052.9,2098.28,133370983,1.07966E+11
2014/4/9,2100.65,2108.75,2095.64,2105.24,105340471,87366778880
2014/4/10,2105.88,2146.67,2098.08,2134.3,156789609,1.29842E+11
2014/4/11,2130.37,2138.65,2120.18,2130.54,131768359,1.11637E+11
2014/4/14,2127.41,2134.43,2116.61,2131.54,102077853,86591717376
2014/4/15,2125.9,2125.9,2098.15,2101.6,107531151,91135361024
2014/4/16,2097.21,2112.05,2092.16,2105.12,89361657,75099480064
2014/4/17,2108.95,2110.72,2095.71,2098.88,89896325,74257031168
2014/4/18,2091.48,2099.64,2081.19,2097.75,88155695,72555978752
2014/4/21,2085.98,2103.08,2065.23,2065.83,96378369,81654554624
2014/4/22,2062.79,2073.66,2047.33,2072.83,98719882,82468102144
2014/4/23,2068.08,2076.35,2059.11,2067.38,78531521,66156171264
2014/4/24,2064.16,2075.76,2056.19,2057.03,78185955,64407531520
2014/4/25,2060.54,2065.64,2035.57,2036.52,93042333,74155876352
2014/4/28,2033.34,2035.99,2000.14,2003.49,89795262,68541493248
2014/4/29,2001.9,2021.68,1997.64,2020.34,76221275,56776482816
2014/4/30,2020.44,2029.54,2016.58,2026.36,74528578,57677357056
2014/5/5,2022.18,2028.96,2007.35,2027.35,79933395,60093489152
2014/5/6,2024.26,2038.7,2021.49,2028.04,74609411,57548111872
2014/5/7,2023.15,2024.63,2008.45,2010.08,74360192,57558052864
2014/5/8,2006.85,2036.94,2005.69,2015.27,77865393,59529367552
2014/5/9,2016.5,2020.45,2001.3,2011.13,76224244,57505382400
2014/5/12,2022.93,2055.51,2016.64,2052.87,115742077,88097005568
2014/5/13,2055.08,2061.06,2043.55,2050.73,97223388,73741721600
2014/5/14,2049.27,2056.57,2042.74,2047.91,72011125,56455290880
2014/5/15,2044.38,2047.32,2022.86,2024.97,75845154,59773444096
2014/5/16,2023.6,2027.76,2012.69,2026.5,66353660,51625885696
2014/5/19,2023.01,2023.27,1996.01,2005.18,65329438,52975247360
2014/5/20,2011.85,2018.16,2002.76,2008.12,61345382,49549017088
2014/5/21,2001.31,2025.19,1991.06,2024.95,61811547,48415092736
2014/5/22,2023.15,2041.96,2018.88,2021.29,74728474,59501662208
2014/5/23,2020.11,2034.57,2017.74,2034.57,63488065,51464941568
2014/5/26,2042.03,2045.38,2035.09,2041.48,70281220,59840434176
2014/5/27,2039.79,2044.15,2032.84,2034.57,67577889,55920517120
2014/5/28,2034.56,2052.66,2029.34,2050.23,81338642,68602224640
2014/5/29,2051.84,2057.08,2039.24,2040.6,81242921,69472509952
2014/5/30,2040.39,2046.96,2031.37,2039.21,75148898,62353641472
2014/6/3,2039.2,2049.58,2037.3,2038.31,71584124,59296436224
2014/6/4,2037.99,2038.48,2012.91,2024.83,72412771,57467547648
2014/6/5,2019.44,2041.7,2016.17,2040.88,67949536,56376143872
2014/6/6,2040.86,2041.57,2022.16,2029.96,66021744,55124242432
2014/6/9,2024.94,2045.26,2023.2,2030.5,64788317,55139844096
2014/6/10,2033.21,2052.77,2026.39,2052.53,79623717,65406103552
2014/6/11,2049.13,2056.63,2045.41,2054.95,74444354,63177392128
2014/6/12,2051.58,2057.1,2045.96,2051.71,81711186,69306425344
2014/6/13,2049.21,2073.6,2048.62,2070.71,97174806,82546974720
2014/6/16,2070.7,2087.32,2069.44,2085.98,95939770,79953076224
2014/6/17,2080.48,2080.48,2064.67,2066.7,87800481,70923264000
2014/6/18,2064.38,2066.91,2051.75,2055.52,87245350,70472933376
2014/6/19,2054.62,2059.25,2017.65,2023.73,92914274,74628947968
2014/6/20,2013.41,2027.15,2010.53,2026.67,67167246,53224267776
2014/6/23,2026.23,2033.32,2022.92,2024.37,70485162,57772728320
2014/6/24,2023.7,2034.71,2021.75,2033.93,71214634,61684912128
2014/6/25,2030.43,2030.62,2018.36,2025.5,67539610,55989137408
2014/6/26,2025.66,2040.75,2025.31,2038.68,80955778,66534273024
2014/6/27,2031.91,2043.98,2025.07,2036.51,97592017,76710584320
2014/6/30,2038.61,2052.34,2038.53,2048.33,96666598,80011165696
2014/7/1,2051.22,2052.63,2041.94,2050.38,98457409,83499761664
2014/7/2,2049.48,2060.6,2044.04,2059.42,109553911,89304981504
2014/7/3,2051.63,2066.64,2048.08,2063.23,122926582,96182468608
2014/7/4,2062.36,2065.08,2054.22,2059.37,105008792,83596435456
2014/7/7,2058.13,2064.04,2050.89,2059.93,97168754,81471315968
2014/7/8,2058.13,2064.43,2047.2,2064.02,95053393,81584447488
2014/7/9,2061.63,2062.47,2037.6,2038.61,113305841,97183490048
2014/7/10,2036.54,2045.53,2034.96,2038.34,97943819,84748632064
2014/7/11,2033.87,2051.74,2033,2046.96,105088083,86253715456
2014/7/14,2047.74,2067.34,2044.9,2066.65,115119740,96357015552
